date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence,confidence,market_state,h4_bias,h1_bias,htf_combined
2025-01-16,2025-01-16 14:54:00+00:00,2025-01-16T14:59:00.000000,long,Normal,1.02827,1.02795,1.02923,1.02795,3.2,0.18,6.0,loss,-6.0,194.0,1,divergence|quarters,eq_low,2,1.02815,False,normal,ok,neutral,neutral,neutral
2025-01-27,2025-01-27 12:34:00+00:00,2025-01-27T12:54:00.000000,short,Normal,1.0515,1.05197,1.05009,1.05197,4.7,0.12,5.82,loss,-5.82,188.18,1,divergence|quarters|magnets,eq_high,2,1.05177,True,high,ok,neutral,neutral,neutral
2025-03-06,2025-03-06 14:30:00+00:00,2025-03-06T14:35:00.000000,short,Normal,1.08192,1.08246,1.0803,1.08246,5.4,0.1,5.65,loss,-5.65,182.53,1,divergence|quarters|magnets,asia_high,2,1.08226,False,high,ok,neutral,neutral,neutral
2025-03-17,2025-03-17 13:30:00+00:00,2025-03-17T13:39:00.000000,short,Normal,1.09084,1.09138,1.08922,1.09138,5.4,0.1,5.48,loss,-5.48,177.06,1,divergence|quarters|magnets,eq_high,2,1.09118,False,high,ok,neutral,neutral,neutral
2025-03-26,2025-03-26 13:03:00+00:00,2025-03-26T13:15:00.000000,long,Normal,1.0777,1.07725,1.07905,1.07905,4.5,0.13,5.31,win,15.94,192.99,1,divergence|quarters|magnets,prev_day_low,3,1.07745,True,high,ok,long,neutral,long
2025-03-31,2025-03-31 13:01:00+00:00,2025-03-31T13:10:00.000000,long,Normal,1.0805,1.08019,1.08143,1.08143,3.1,0.2,5.79,win,17.37,210.36,1,divergence|quarters|magnets,eq_low,2,1.08039,True,high,ok,long,neutral,long
2025-03-31,2025-03-31 13:03:00+00:00,2025-03-31T13:59:00.000000,long,Normal,1.08074,1.08013,1.08257,1.08074,6.1,0.1,6.31,be,0.0,210.36,2,divergence|quarters|magnets,prev_day_low,3,1.08033,True,high,ok,long,neutral,long
2025-04-02,2025-04-02 13:09:00+00:00,2025-04-02T13:13:00.000000,short,Normal,1.08168,1.08215,1.08027,1.08215,4.7,0.13,6.31,loss,-6.31,204.05,1,divergence|quarters|magnets,eq_high,2,1.08195,False,high,ok,neutral,short,short
2025-04-15,2025-04-15 11:41:00+00:00,2025-04-15T12:04:00.000000,long,Normal,1.13171,1.13124,1.13312,1.13312,4.7,0.14,6.12,win,18.36,222.42,1,divergence|quarters|magnets,asia_low,2,1.13144,False,high,ok,neutral,long,long
2025-04-15,2025-04-15 11:44:00+00:00,2025-04-15T12:55:00.000000,long,Normal,1.13209,1.13125,1.13461,1.13209,8.4,0.08,6.67,be,0.0,222.42,2,divergence|quarters|magnets,asia_low,2,1.13145,True,high,ok,neutral,long,long
2025-04-15,2025-04-15 13:02:00+00:00,2025-04-15T13:11:00.000000,long,Normal,1.13166,1.13108,1.1334,1.13166,5.8,0.12,6.67,be,0.0,222.42,3,divergence|quarters|magnets,asia_low,2,1.13128,True,high,ok,neutral,long,long
2025-06-09,2025-06-09 13:10:00+00:00,2025-06-09T13:23:00.000000,long,Normal,1.13947,1.13893,1.14109,1.13893,5.4,0.12,6.67,loss,-6.67,215.74,1,divergence|quarters|magnets,eq_low,2,1.13913,False,high,ok,short,long,neutral
2025-06-10,2025-06-10 12:09:00+00:00,2025-06-10T13:07:00.000000,short,Normal,1.14289,1.14424,1.13884,1.14424,13.5,0.05,6.47,loss,-6.47,209.27,1,divergence|quarters|magnets,prev_day_high,3,1.14404,True,high,ok,neutral,short,short
2025-06-17,2025-06-17 13:21:00+00:00,2025-06-17T14:18:00.000000,short,Normal,1.15646,1.15707,1.15463,1.15463,6.1,0.11,6.28,win,18.83,228.11,1,divergence|quarters,asia_high,2,1.15687,False,normal,ok,long,short,neutral
2025-06-30,2025-06-30 12:50:00+00:00,2025-06-30T13:54:00.000000,long,Normal,1.17127,1.17088,1.17244,1.17127,3.9,0.18,6.84,be,0.0,228.11,1,divergence|quarters|magnets,eq_low,2,1.17108,True,high,ok,neutral,long,long
2025-08-25,2025-08-25 11:38:00+00:00,2025-08-25T12:14:00.000000,long,Normal,1.16941,1.16903,1.17055,1.16941,3.8,0.18,6.84,be,0.0,228.11,1,divergence|quarters,asia_low,2,1.16923,False,normal,ok,long,long,long
2025-08-26,2025-08-26 11:55:00+00:00,2025-08-26T13:03:00.000000,short,Normal,1.16574,1.16625,1.16421,1.16421,5.1,0.15,6.84,win,20.53,248.64,1,divergence|quarters|magnets,eq_high,2,1.16605,True,high,ok,short,short,short
2025-08-29,2025-08-29 12:12:00+00:00,2025-08-29T12:29:00.000000,long,Normal,1.16574,1.16557,1.16625,1.16557,1.7,0.43,7.46,loss,-7.46,241.18,1,divergence|quarters|magnets,eq_low,2,1.16577,True,high,ok,long,long,long
