date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-03-06,2025-03-06 14:30:00+00:00,2025-03-06T14:35:00.000000,short,Normal,1.08192,1.08246,1.0803,1.08246,5.4,0.11,6.0,loss,-6.0,194.0,1,divergence|quarters|magnets,asia_high,2,1.08226,False,neutral,neutral,neutral
2025-03-25,2025-03-25 13:09:00+00:00,2025-03-25T13:36:00.000000,short,Normal,1.08066,1.08133,1.07865,1.08133,6.7,0.08,5.82,loss,-5.82,188.18,1,divergence|quarters,asia_high,2,1.08113,False,neutral,neutral,neutral
2025-03-26,2025-03-26 13:03:00+00:00,2025-03-26T13:15:00.000000,long,Normal,1.0777,1.07725,1.07905,1.07905,4.5,0.14,5.65,win,16.94,205.12,1,divergence|quarters|magnets,prev_day_low,3,1.07745,True,long,neutral,long
2025-03-26,2025-03-26 14:57:00+00:00,2025-03-26T16:19:00.000000,long,Normal,1.07815,1.07653,1.08301,1.07653,16.2,0.04,6.15,loss,-6.15,198.96,2,quarters|magnets,prev_day_low,3,1.07673,False,long,neutral,long
2025-03-31,2025-03-31 13:03:00+00:00,2025-03-31T13:59:00.000000,long,Normal,1.08074,1.08013,1.08257,1.08074,6.1,0.1,5.97,be,0.0,198.96,1,divergence|quarters|magnets,prev_day_low,3,1.08033,True,long,neutral,long
2025-03-31,2025-03-31 14:13:00+00:00,2025-03-31T14:19:00.000000,long,Normal,1.08071,1.08018,1.0823,1.08018,5.3,0.11,5.97,loss,-5.97,192.99,2,quarters|magnets,prev_day_low,3,1.08038,False,long,neutral,long
2025-04-07,2025-04-07 12:54:00+00:00,2025-04-07T13:47:00.000000,short,Normal,1.09812,1.09932,1.09452,1.09452,12.0,0.05,5.79,win,17.37,210.36,1,divergence|magnets,asia_high,2,1.09912,False,short,long,neutral
2025-04-14,2025-04-14 13:11:00+00:00,2025-04-14T13:21:00.000000,long,Normal,1.1308,1.13009,1.13293,1.1308,7.1,0.09,6.31,be,0.0,210.36,1,quarters|magnets,prev_day_low,3,1.13029,False,neutral,long,long
2025-04-14,2025-04-14 13:37:00+00:00,2025-04-14T14:15:00.000000,long,Normal,1.13129,1.13043,1.13387,1.13387,8.6,0.08,6.31,win,18.93,229.3,2,quarters|magnets,prev_day_low,3,1.13063,False,neutral,long,long
2025-04-23,2025-04-23 12:07:00+00:00,2025-04-23T12:47:00.000000,short,Normal,1.14134,1.14186,1.13978,1.14134,5.2,0.13,6.88,be,0.0,229.3,1,divergence|magnets,asia_high,2,1.14166,False,neutral,neutral,neutral
2025-04-23,2025-04-23 12:10:00+00:00,2025-04-23T13:37:00.000000,short,Normal,1.14091,1.14184,1.13812,1.13812,9.3,0.08,6.88,win,20.64,249.93,2,divergence|magnets,asia_high,2,1.14164,False,neutral,neutral,neutral
2025-05-05,2025-05-05 14:09:00+00:00,2025-05-05T14:18:00.000000,short,Normal,1.13496,1.13527,1.13403,1.13403,3.1,0.26,7.5,win,22.49,272.43,1,divergence|quarters|magnets,asia_high,2,1.13507,False,neutral,short,short
2025-06-09,2025-06-09 13:25:00+00:00,2025-06-09T14:14:00.000000,long,Normal,1.13899,1.13844,1.14064,1.14064,5.5,0.16,8.17,win,24.52,296.94,1,quarters|magnets,prev_day_low,3,1.13864,False,short,long,neutral
2025-06-10,2025-06-10 12:53:00+00:00,2025-06-10T13:02:00.000000,short,Normal,1.1434,1.14387,1.14199,1.14387,4.7,0.18,8.91,loss,-8.91,288.04,1,divergence|quarters|magnets,asia_high,2,1.14367,False,neutral,short,short
2025-06-17,2025-06-17 13:21:00+00:00,2025-06-17T14:18:00.000000,short,Normal,1.15646,1.15707,1.15463,1.15463,6.1,0.15,8.64,win,25.92,313.96,1,divergence|quarters,asia_high,2,1.15687,False,long,short,neutral
2025-07-08,2025-07-08 14:24:00+00:00,2025-07-08T15:16:00.000000,long,Normal,1.16876,1.16823,1.17035,1.17035,5.3,0.19,9.42,win,28.26,342.22,1,divergence|quarters|magnets,prev_day_low,3,1.16843,True,neutral,long,long
2025-08-21,2025-08-21 12:50:00+00:00,2025-08-21T13:42:00.000000,short,Normal,1.16507,1.16547,1.16387,1.16387,4.0,0.28,10.27,win,30.8,373.02,1,divergence|magnets,asia_high,2,1.16527,False,neutral,short,short
2025-08-26,2025-08-26 14:50:00+00:00,2025-08-26T17:58:00.000000,short,Normal,1.16577,1.16639,1.16391,1.16391,6.2,0.2,11.19,win,33.57,406.59,1,quarters|magnets,asia_high,2,1.16619,False,short,short,short
2025-10-01,2025-10-01 12:24:00+00:00,2025-10-01T12:32:00.000000,short,Normal,1.17498,1.17636,1.17084,1.17636,13.8,0.09,12.2,loss,-12.2,394.39,1,divergence|magnets,asia_high,2,1.17616,False,short,long,neutral
2025-10-14,2025-10-14 14:48:00+00:00,2025-10-14T15:50:00.000000,short,Normal,1.15894,1.15983,1.15627,1.15983,8.9,0.13,11.83,loss,-11.83,382.56,1,divergence|quarters|magnets,asia_high,2,1.15963,False,neutral,neutral,neutral
2025-10-23,2025-10-23 13:44:00+00:00,2025-10-23T14:03:00.000000,short,Normal,1.16066,1.16103,1.15955,1.16103,3.7,0.3,11.48,loss,-11.48,371.08,1,divergence|magnets,asia_high,2,1.16083,False,neutral,neutral,neutral
2025-11-20,2025-11-20 14:50:00+00:00,2025-11-20T15:47:00.000000,short,Normal,1.15383,1.15439,1.15215,1.15215,5.6,0.22,11.13,win,33.4,404.48,1,divergence|magnets,asia_high,2,1.15419,False,short,short,short
2025-12-19,2025-12-19 14:10:00+00:00,2025-12-19T14:13:00.000000,short,Normal,1.17295,1.17326,1.17202,1.17326,3.1,0.38,12.13,loss,-12.13,392.34,1,divergence|magnets,asia_high,2,1.17306,False,neutral,neutral,neutral
2025-12-29,2025-12-29 14:48:00+00:00,2025-12-29T15:45:00.000000,short,Normal,1.17846,1.17905,1.17669,1.17846,5.9,0.2,11.77,be,0.0,392.34,1,divergence|magnets,asia_high,2,1.17885,False,short,neutral,short
