date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2024-01-03,2024-01-03 15:02:00+00:00,2024-01-03T15:22:00.000000,long,Normal,1.09363,1.09104,1.1014,1.09104,25.9,0.02,6.0,loss,-6.0,194.0,1,divergence|quarters,1.09124,False,neutral,neutral,neutral
2024-01-08,2024-01-08 14:36:00+00:00,2024-01-08T15:10:00.000000,short,Normal,1.09573,1.09646,1.09354,1.09646,7.3,0.08,5.82,loss,-5.82,188.18,1,quarters|magnets,1.09626,False,neutral,short,short
2024-01-11,2024-01-11 14:54:00+00:00,2024-01-11T15:04:00.000000,long,Normal,1.09503,1.09432,1.09716,1.09432,7.1,0.08,5.65,loss,-5.65,182.53,1,divergence|magnets,1.09452,False,neutral,neutral,neutral
2024-01-19,2024-01-19 17:39:00+00:00,2024-01-19T18:21:00.000000,short,Normal,1.08899,1.08953,1.08737,1.08953,5.4,0.1,5.48,loss,-5.48,177.06,1,quarters|magnets,1.08933,False,short,short,short
2024-01-25,2024-01-25 14:33:00+00:00,2024-01-25T15:06:00.000000,long,Normal,1.0861,1.0851,1.0891,1.0851,10.0,0.05,5.31,loss,-5.31,171.75,1,divergence|magnets,1.0853,False,neutral,long,long
2024-01-26,2024-01-26 14:32:00+00:00,2024-01-26T15:17:00.000000,long,Normal,1.08662,1.08589,1.08881,1.08589,7.3,0.07,5.15,loss,-5.15,166.59,1,divergence|magnets,1.08609,False,long,neutral,long
2024-01-29,2024-01-29 14:36:00+00:00,2024-01-29T15:18:00.000000,long,Normal,1.08095,1.08028,1.08296,1.08028,6.7,0.07,5.0,loss,-5.0,161.6,1,divergence|quarters|magnets,1.08048,True,neutral,neutral,neutral
2024-01-30,2024-01-30 14:40:00+00:00,2024-01-30T15:00:00.000000,short,Normal,1.08488,1.08582,1.08206,1.08488,9.4,0.05,4.85,be,0.0,161.6,1,divergence|quarters|magnets,1.08562,False,short,short,short
2024-01-30,2024-01-30 14:41:00+00:00,,short,Normal,1.0846,1.08582,1.08094,1.08582,12.2,0.04,4.85,loss,-4.85,156.75,2,divergence|quarters|magnets,1.08562,True,short,short,short
2024-01-31,2024-01-31 16:02:00+00:00,2024-01-31T19:00:00.000000,short,Normal,1.08608,1.08698,1.08338,1.08338,9.0,0.06,4.7,win,14.11,170.86,1,quarters|magnets,1.08678,False,long,short,neutral
2024-01-31,2024-01-31 16:04:00+00:00,2024-01-31T19:00:00.000000,short,Normal,1.08597,1.08698,1.08294,1.08294,10.1,0.06,5.13,win,15.38,186.23,2,quarters|magnets,1.08678,False,long,short,neutral
2024-02-01,2024-02-01 15:31:00+00:00,2024-02-01T16:05:00.000000,short,Normal,1.08284,1.08338,1.08122,1.08338,5.4,0.1,5.59,loss,-5.59,180.65,1,divergence|quarters|magnets,1.08318,False,long,short,neutral
2024-02-02,2024-02-02 14:35:00+00:00,2024-02-02T14:40:00.000000,long,Normal,1.08011,1.07969,1.08137,1.07969,4.2,0.13,5.42,loss,-5.42,175.23,1,quarters|magnets,1.07989,False,neutral,long,long
2024-02-06,2024-02-06 15:29:00+00:00,2024-02-06T20:58:00.000000,long,Normal,1.07421,1.07373,1.07565,1.07565,4.8,0.12,5.26,win,15.77,191.0,1,divergence|quarters,1.07393,False,neutral,long,long
2024-02-06,2024-02-06 15:33:00+00:00,2024-02-06T18:22:00.000000,long,Normal,1.07439,1.07373,1.07637,1.07439,6.6,0.09,5.73,be,0.0,191.0,2,divergence|quarters,1.07393,False,neutral,long,long
2024-02-16,2024-02-16 16:09:00+00:00,2024-02-16T16:54:00.000000,long,Normal,1.07706,1.07663,1.07835,1.07663,4.3,0.13,5.73,loss,-5.73,185.27,1,divergence|magnets,1.07683,False,neutral,neutral,neutral
2024-02-21,2024-02-21 15:01:00+00:00,2024-02-21T15:09:00.000000,short,Sierra,1.08109,1.08182,1.0789,1.08182,7.3,0.07,5.56,loss,-5.56,179.71,1,divergence|magnets,1.08162,False,neutral,neutral,neutral
2024-02-22,2024-02-22 15:06:00+00:00,,long,Normal,1.08096,1.08016,1.08336,1.08016,8.0,0.07,5.39,loss,-5.39,174.32,1,divergence|quarters|magnets,1.08036,True,neutral,long,long
2024-03-08,2024-03-08 14:56:00+00:00,,short,Normal,1.09555,1.0965,1.0927,1.0965,9.5,0.05,5.23,loss,-5.23,169.09,1,divergence|magnets,1.0963,False,neutral,neutral,neutral
2024-03-11,2024-03-11 13:40:00+00:00,2024-03-11T17:35:00.000000,long,Normal,1.09203,1.09141,1.09389,1.09203,6.2,0.08,5.07,be,0.0,169.09,1,quarters|magnets,1.09161,False,neutral,long,long
2024-03-11,2024-03-11 13:43:00+00:00,2024-03-11T17:35:00.000000,long,Normal,1.09204,1.09141,1.09393,1.09204,6.3,0.08,5.07,be,0.0,169.09,2,quarters|magnets,1.09161,False,neutral,long,long
2024-03-12,2024-03-12 15:54:00+00:00,,long,Normal,1.09171,1.09116,1.09336,1.09116,5.5,0.09,5.07,loss,-5.07,164.02,1,divergence|magnets,1.09136,False,long,short,neutral
2024-03-13,2024-03-13 13:48:00+00:00,2024-03-13T14:22:00.000000,short,Normal,1.09399,1.09463,1.09207,1.09463,6.4,0.07,4.92,loss,-4.92,159.1,1,divergence|quarters|magnets,1.09443,True,short,neutral,short
2024-03-26,2024-03-26 13:37:00+00:00,2024-03-26T14:35:00.000000,long,Normal,1.08424,1.08359,1.08619,1.08359,6.5,0.07,4.77,loss,-4.77,154.32,1,divergence|quarters|magnets,1.08379,True,neutral,long,long
2024-04-03,2024-04-03 15:01:00+00:00,2024-04-03T15:21:00.000000,short,Normal,1.08203,1.0826,1.08032,1.0826,5.7,0.08,4.63,loss,-4.63,149.69,1,divergence|quarters|magnets,1.0824,True,neutral,short,short
2024-04-08,2024-04-08 14:00:00+00:00,2024-04-08T14:54:00.000000,short,Normal,1.08496,1.08553,1.08325,1.08553,5.7,0.08,4.49,loss,-4.49,145.2,1,divergence|quarters|magnets,1.08533,True,long,short,neutral
2024-04-09,2024-04-09 13:33:00+00:00,2024-04-09T14:31:00.000000,short,Normal,1.08815,1.08864,1.08668,1.08668,4.9,0.1,4.36,win,13.07,158.27,1,quarters|magnets,1.08844,False,short,short,short
2024-04-11,2024-04-11 14:55:00+00:00,2024-04-11T15:30:00.000000,long,Normal,1.07031,1.06972,1.07208,1.07031,5.9,0.08,4.75,be,0.0,158.27,1,divergence|magnets,1.06992,False,short,long,neutral
2024-04-11,2024-04-11 14:57:00+00:00,2024-04-11T17:09:00.000000,long,Normal,1.07039,1.06972,1.0724,1.0724,6.7,0.08,4.75,win,14.24,172.51,2,divergence|magnets,1.06992,False,short,long,neutral
2024-04-15,2024-04-15 13:52:00+00:00,2024-04-15T13:54:00.000000,long,Normal,1.06399,1.06357,1.06525,1.06357,4.2,0.12,5.18,loss,-5.18,167.34,1,divergence|magnets,1.06377,False,neutral,long,long
2024-04-18,2024-04-18 13:50:00+00:00,2024-04-18T17:24:00.000000,long,Normal,1.06535,1.06444,1.06808,1.06444,9.1,0.05,5.02,loss,-5.02,162.32,1,divergence|quarters|magnets,1.06464,False,short,long,neutral
2024-04-23,2024-04-23 14:39:00+00:00,2024-04-23T15:02:00.000000,short,Normal,1.07083,1.07132,1.06936,1.06936,4.9,0.11,4.87,win,14.61,176.93,1,quarters|magnets,1.07112,False,neutral,neutral,neutral
2024-04-23,2024-04-23 14:42:00+00:00,2024-04-23T17:40:00.000000,short,Normal,1.07065,1.07132,1.06864,1.07065,6.7,0.08,5.31,be,0.0,176.93,2,quarters|magnets,1.07112,False,neutral,neutral,neutral
2024-04-25,2024-04-25 13:37:00+00:00,2024-04-25T15:56:00.000000,long,Normal,1.069,1.06796,1.07212,1.07212,10.4,0.06,5.31,win,15.92,192.85,1,divergence|magnets,1.06816,False,neutral,neutral,neutral
2024-04-25,2024-04-25 13:39:00+00:00,2024-04-25T16:48:00.000000,long,Normal,1.06928,1.06796,1.07324,1.07324,13.2,0.05,5.79,win,17.36,210.21,2,divergence|magnets,1.06816,False,neutral,neutral,neutral
2024-05-02,2024-05-02 13:51:00+00:00,2024-05-02T14:02:00.000000,long,Normal,1.06834,1.06781,1.06993,1.06781,5.3,0.12,6.31,loss,-6.31,203.9,1,quarters|magnets,1.06801,False,neutral,long,long
2024-05-08,2024-05-08 13:42:00+00:00,2024-05-08T15:52:00.000000,short,Sierra,1.07507,1.07555,1.07363,1.07555,4.8,0.12,6.12,loss,-6.12,197.78,1,divergence|quarters|magnets,1.07535,False,neutral,short,short
