date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,excellence
2024-01-02,2024-01-02 12:41:00+00:00,2024-01-02T12:57:00.000000,long,Knockout,1.0963,1.0956,1.0984,1.0956,7.0,0.14,10.0,loss,-10.0,990.0,1,divergence|quarters|magnets,True
2024-01-03,2024-01-03 13:05:00+00:00,2024-01-03T13:23:00.000000,long,Normal,1.09183,1.09125,1.09357,1.09125,5.8,0.17,9.9,loss,-9.9,980.1,1,divergence|quarters|magnets,False
2024-01-05,2024-01-05 12:00:00+00:00,2024-01-05T12:01:00.000000,long,Sierra,1.09154,1.09333,1.09558,1.09333,17.9,0.05,9.8,loss,-9.8,970.3,1,sierra_sweep,False
2024-01-08,2024-01-08 13:42:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09532,1.09581,1.09385,1.09581,4.9,0.2,9.7,loss,-9.7,960.6,1,quarters|magnets,False
2024-01-11,2024-01-11 13:29:00+00:00,2024-01-11T13:30:00.000000,short,Normal,1.09869,1.09928,1.09692,1.09928,5.9,0.16,9.61,loss,-9.61,950.99,1,divergence|quarters|magnets,True
2024-01-12,2024-01-12 12:25:00+00:00,2024-01-12T12:53:00.000000,long,Knockout,1.09494,1.09394,1.09794,1.09394,10.0,0.1,9.51,loss,-9.51,941.48,1,divergence|quarters,False
2024-01-16,2024-01-16 14:03:00+00:00,2024-01-16T14:50:00.000000,long,Knockout,1.08751,1.08692,1.08928,1.08692,5.9,0.16,9.41,loss,-9.41,932.07,1,divergence|quarters|magnets,True
2024-01-17,2024-01-17 13:53:00+00:00,2024-01-17T14:47:00.000000,long,Knockout,1.08643,1.08529,1.08985,1.08529,11.4,0.08,9.32,loss,-9.32,922.74,1,quarters|magnets,False
2024-01-18,2024-01-18 12:54:00+00:00,2024-01-18T13:13:00.000000,long,Normal,1.08789,1.08729,1.08969,1.08729,6.0,0.15,9.23,loss,-9.23,913.52,1,divergence|quarters|magnets,False
2024-01-19,2024-01-19 12:51:00+00:00,2024-01-19T13:42:00.000000,long,Normal,1.08824,1.0878,1.08956,1.0878,4.4,0.21,9.14,loss,-9.14,904.38,1,divergence|magnets,False
