date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2024-01-08,2024-01-08 13:42:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09532,1.09581,1.09385,1.09581,4.9,0.2,10.0,loss,-10.0,990.0,1,quarters|magnets,1.09561,False,neutral,short,short
2024-01-19,2024-01-19 13:41:00+00:00,2024-01-19T17:31:00.000000,short,Normal,1.08794,1.08916,1.08428,1.08916,12.2,0.08,9.9,loss,-9.9,980.1,1,divergence|quarters,1.08896,False,short,short,short
2024-01-25,2024-01-25 14:33:00+00:00,2024-01-25T15:06:00.000000,long,Normal,1.0861,1.0851,1.0891,1.0851,10.0,0.1,9.8,loss,-9.8,970.3,1,divergence|magnets,1.0853,False,neutral,long,long
2024-01-30,2024-01-30 12:31:00+00:00,2024-01-30T12:55:00.000000,short,Normal,1.08406,1.08463,1.08235,1.08463,5.7,0.17,9.7,loss,-9.7,960.6,1,divergence|quarters|magnets,1.08443,True,short,short,short
2024-02-02,2024-02-02 13:53:00+00:00,2024-02-02T13:56:00.000000,long,Normal,1.08126,1.08068,1.083,1.08068,5.8,0.16,9.61,loss,-9.61,950.99,1,quarters|magnets,1.08088,False,neutral,long,long
2024-02-06,2024-02-06 12:39:00+00:00,2024-02-06T13:38:00.000000,long,Normal,1.07289,1.07205,1.07541,1.07289,8.4,0.11,9.51,be,0.0,950.99,1,divergence|quarters,1.07225,False,neutral,long,long
2024-02-06,2024-02-06 12:41:00+00:00,,long,Normal,1.07312,1.07205,1.07633,1.07205,10.7,0.09,9.51,loss,-9.51,941.48,2,divergence|quarters,1.07225,False,neutral,long,long
2024-02-09,2024-02-09 12:46:00+00:00,2024-02-09T13:31:00.000000,long,Normal,1.07667,1.0761,1.07838,1.07838,5.7,0.17,9.41,win,28.24,969.72,1,divergence|magnets,1.0763,False,neutral,long,long
2024-02-22,2024-02-22 14:19:00+00:00,2024-02-22T14:25:00.000000,long,Normal,1.08165,1.08104,1.08348,1.08104,6.1,0.16,9.7,loss,-9.7,960.03,1,quarters|magnets,1.08124,False,neutral,long,long
2024-03-07,2024-03-07 13:42:00+00:00,2024-03-07T13:54:00.000000,long,Normal,1.08798,1.087,1.09092,1.087,9.8,0.1,9.6,loss,-9.6,950.43,1,divergence|quarters|magnets,1.0872,True,long,neutral,long
2024-03-11,2024-03-11 13:03:00+00:00,2024-03-11T13:12:00.000000,long,Normal,1.09191,1.09157,1.09293,1.09157,3.4,0.28,9.5,loss,-9.5,940.92,1,divergence|quarters|magnets,1.09177,False,neutral,long,long
2024-03-13,2024-03-13 12:10:00+00:00,2024-03-13T13:41:00.000000,short,Normal,1.09373,1.09429,1.09205,1.09429,5.6,0.17,9.41,loss,-9.41,931.51,1,quarters|magnets,1.09409,False,short,neutral,short
2024-03-26,2024-03-26 13:37:00+00:00,2024-03-26T14:35:00.000000,long,Normal,1.08424,1.08359,1.08619,1.08359,6.5,0.14,9.32,loss,-9.32,922.2,1,divergence|quarters,1.08379,False,neutral,long,long
2024-03-27,2024-03-27 12:45:00+00:00,2024-03-27T21:10:00.000000,long,Normal,1.08149,1.08088,1.08332,1.08149,6.1,0.15,9.22,be,0.0,922.2,1,quarters|magnets,1.08108,False,neutral,long,long
2024-04-09,2024-04-09 12:14:00+00:00,2024-04-09T12:32:00.000000,short,Normal,1.08677,1.08706,1.0859,1.08706,2.9,0.31,9.22,loss,-9.22,912.98,1,quarters|magnets,1.08686,False,short,short,short
