date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-01-15,2025-01-15 14:32:00+00:00,2025-01-15T15:47:00.000000,short,Normal,1.03377,1.03472,1.03092,1.03092,9.5,0.11,10.0,win,30.0,1030.0,1,quarters|magnets,1.03452,False,short,neutral,short
2025-01-15,2025-01-15 14:34:00+00:00,2025-01-15T16:11:00.000000,short,Normal,1.03333,1.03472,1.02916,1.02916,13.9,0.08,10.3,win,30.9,1060.9,2,quarters|magnets,1.03452,False,short,neutral,short
2025-02-12,2025-02-12 13:07:00+00:00,2025-02-12T13:30:00.000000,short,Normal,1.03718,1.03806,1.03454,1.03454,8.8,0.12,10.61,win,31.83,1092.73,1,divergence|quarters,1.03786,False,short,short,short
2025-02-13,2025-02-13 14:14:00+00:00,2025-02-13T15:02:00.000000,long,Normal,1.03883,1.03798,1.04138,1.04138,8.5,0.13,10.93,win,32.78,1125.51,1,quarters|magnets,1.03818,False,neutral,long,long
2025-02-13,2025-02-13 14:15:00+00:00,2025-02-13T15:11:00.000000,long,Normal,1.03895,1.03798,1.04186,1.04186,9.7,0.12,11.26,win,33.77,1159.27,2,quarters|magnets,1.03818,False,neutral,long,long
2025-03-12,2025-03-12 14:11:00+00:00,2025-03-12T14:27:00.000000,short,Normal,1.09142,1.09206,1.0895,1.09206,6.4,0.18,11.59,loss,-11.59,1147.68,1,divergence|magnets,1.09186,False,neutral,short,short
2025-03-21,2025-03-21 12:47:00+00:00,2025-03-21T14:52:00.000000,short,Normal,1.08307,1.08379,1.08091,1.08091,7.2,0.16,11.48,win,34.43,1182.11,1,divergence|quarters,1.08359,False,short,short,short
2025-03-26,2025-03-26 12:36:00+00:00,2025-03-26T13:46:00.000000,long,Normal,1.07729,1.07655,1.07951,1.07951,7.4,0.16,11.82,win,35.46,1217.58,1,divergence|quarters|magnets,1.07675,True,long,neutral,long
2025-03-26,2025-03-26 12:37:00+00:00,2025-03-26T14:56:00.000000,long,Normal,1.07761,1.07655,1.08079,1.07761,10.6,0.11,12.18,be,0.0,1217.58,2,divergence|quarters|magnets,1.07675,True,long,neutral,long
2025-03-31,2025-03-31 12:17:00+00:00,2025-03-31T12:32:00.000000,long,Normal,1.08169,1.081,1.08376,1.081,6.9,0.17,12.18,loss,-12.18,1205.4,1,divergence|quarters|magnets,1.0812,False,long,neutral,long
2025-04-02,2025-04-02 12:36:00+00:00,2025-04-02T12:41:00.000000,short,Normal,1.08063,1.08134,1.0785,1.08134,7.1,0.17,12.05,loss,-12.05,1193.35,1,divergence|quarters|magnets,1.08114,False,neutral,short,short
2025-04-14,2025-04-14 13:32:00+00:00,2025-04-14T14:25:00.000000,long,Normal,1.13083,1.1296,1.13452,1.13452,12.3,0.1,11.93,win,35.8,1229.15,1,quarters|magnets,1.1298,False,neutral,long,long
2025-04-14,2025-04-14 14:50:00+00:00,2025-04-14T15:20:00.000000,long,Normal,1.13572,1.13452,1.13932,1.13572,12.0,0.1,12.29,be,0.0,1229.15,2,divergence|quarters|magnets,1.13472,False,neutral,long,long
2025-04-15,2025-04-15 12:34:00+00:00,2025-04-15T12:38:00.000000,long,Normal,1.13343,1.13254,1.1361,1.13254,8.9,0.14,12.29,loss,-12.29,1216.85,1,divergence|quarters,1.13274,False,neutral,long,long
2025-04-28,2025-04-28 13:20:00+00:00,2025-04-28T13:43:00.000000,long,Normal,1.1345,1.13373,1.13681,1.13681,7.7,0.16,12.17,win,36.51,1253.36,1,divergence|magnets,1.13393,False,long,neutral,long
2025-05-01,2025-05-01 12:40:00+00:00,2025-05-01T15:43:00.000000,short,Normal,1.13228,1.13408,1.12688,1.12688,18.0,0.07,12.53,win,37.6,1290.96,1,divergence|quarters,1.13388,False,short,neutral,short
2025-05-01,2025-05-01 13:14:00+00:00,2025-05-01T14:00:00.000000,short,Normal,1.13224,1.13294,1.13014,1.13014,7.0,0.19,12.91,win,38.73,1329.69,2,divergence|quarters,1.13274,False,short,neutral,short
