date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-01-15,2025-01-15 14:32:00+00:00,2025-01-15T15:47:00.000000,short,Normal,1.03377,1.03472,1.03092,1.03092,9.5,0.07,6.0,win,18.0,218.0,1,quarters|magnets,1.03452,False,short,neutral,short
2025-01-15,2025-01-15 14:34:00+00:00,2025-01-15T16:11:00.000000,short,Normal,1.03333,1.03472,1.02916,1.02916,13.9,0.05,6.54,win,19.62,237.62,2,quarters|magnets,1.03452,False,short,neutral,short
2025-01-15,2025-01-15 14:53:00+00:00,2025-01-15T15:49:00.000000,short,Normal,1.03315,1.03409,1.03033,1.03033,9.4,0.08,7.13,win,21.39,259.01,3,divergence|quarters|magnets,1.03389,False,short,neutral,short
2025-01-16,2025-01-16 13:22:00+00:00,2025-01-16T13:31:00.000000,long,Normal,1.0269,1.02607,1.02939,1.02607,8.3,0.09,7.77,loss,-7.77,251.24,1,quarters|magnets,1.02627,False,neutral,neutral,neutral
2025-01-16,2025-01-16 14:39:00+00:00,2025-01-16T15:05:00.000000,long,Normal,1.02712,1.02658,1.02874,1.02874,5.4,0.15,7.54,win,22.61,273.85,2,quarters|magnets,1.02678,False,neutral,neutral,neutral
2025-01-27,2025-01-27 13:17:00+00:00,2025-01-27T23:11:00.000000,short,Normal,1.05193,1.0535,1.04722,1.04722,15.7,0.06,8.22,win,24.65,298.49,1,divergence|quarters|magnets,1.0533,False,neutral,neutral,neutral
2025-01-27,2025-01-27 13:53:00+00:00,2025-01-27T15:02:00.000000,short,Normal,1.05239,1.05307,1.05035,1.05035,6.8,0.14,8.95,win,26.86,325.36,2,divergence|quarters|magnets,1.05287,False,neutral,neutral,neutral
2025-01-27,2025-01-27 13:59:00+00:00,2025-01-27T17:05:00.000000,short,Normal,1.05198,1.05307,1.04871,1.04871,10.9,0.1,9.76,win,29.28,354.64,3,divergence|quarters|magnets,1.05287,False,neutral,neutral,neutral
2025-02-13,2025-02-13 14:14:00+00:00,2025-02-13T15:02:00.000000,long,Normal,1.03883,1.03798,1.04138,1.04138,8.5,0.14,10.64,win,31.92,386.56,1,quarters|magnets,1.03818,False,neutral,long,long
2025-02-13,2025-02-13 14:15:00+00:00,2025-02-13T15:11:00.000000,long,Normal,1.03895,1.03798,1.04186,1.04186,9.7,0.13,11.6,win,34.79,421.35,2,quarters|magnets,1.03818,False,neutral,long,long
2025-02-13,2025-02-13 14:33:00+00:00,2025-02-13T15:02:00.000000,long,Normal,1.03872,1.03812,1.04052,1.04052,6.0,0.23,12.64,win,37.92,459.27,3,quarters|magnets,1.03832,False,neutral,long,long
2025-03-03,2025-03-03 13:46:00+00:00,2025-03-03T14:03:00.000000,short,Normal,1.04735,1.04782,1.04594,1.04735,4.7,0.29,13.78,be,0.0,459.27,1,quarters|magnets,1.04762,False,neutral,long,long
2025-03-03,2025-03-03 13:51:00+00:00,2025-03-03T14:21:00.000000,short,Normal,1.04718,1.04782,1.04526,1.04782,6.4,0.21,13.78,loss,-13.78,445.49,2,quarters|magnets,1.04762,False,neutral,long,long
2025-03-06,2025-03-06 14:00:00+00:00,2025-03-06T14:03:00.000000,short,Normal,1.08213,1.08393,1.07673,1.08393,18.0,0.07,13.36,loss,-13.36,432.13,1,divergence|quarters|magnets,1.08373,False,neutral,neutral,neutral
2025-03-06,2025-03-06 14:05:00+00:00,2025-03-06T15:00:00.000000,short,Normal,1.0824,1.08429,1.07673,1.08429,18.9,0.07,12.96,loss,-12.96,419.16,2,divergence|quarters|magnets,1.08409,False,neutral,neutral,neutral
2025-03-17,2025-03-17 12:06:00+00:00,2025-03-17T12:33:00.000000,short,Normal,1.08991,1.0906,1.08784,1.0906,6.9,0.18,12.57,loss,-12.57,406.59,1,quarters|magnets,1.0904,False,neutral,neutral,neutral
2025-03-17,2025-03-17 12:35:00+00:00,2025-03-17T13:03:00.000000,short,Normal,1.09019,1.09083,1.08827,1.09083,6.4,0.18,12.2,loss,-12.2,394.39,2,quarters|magnets,1.09063,False,neutral,neutral,neutral
2025-03-26,2025-03-26 12:36:00+00:00,2025-03-26T13:46:00.000000,long,Normal,1.07729,1.07655,1.07951,1.07951,7.4,0.17,11.83,win,35.5,429.88,1,divergence|quarters|magnets,1.07675,False,long,neutral,long
2025-03-26,2025-03-26 12:37:00+00:00,2025-03-26T14:56:00.000000,long,Normal,1.07761,1.07655,1.08079,1.07761,10.6,0.12,12.9,be,0.0,429.88,2,divergence|quarters|magnets,1.07675,False,long,neutral,long
2025-03-31,2025-03-31 12:17:00+00:00,2025-03-31T12:32:00.000000,long,Normal,1.08169,1.081,1.08376,1.081,6.9,0.18,12.9,loss,-12.9,416.99,1,divergence|quarters|magnets,1.0812,False,long,neutral,long
2025-03-31,2025-03-31 12:19:00+00:00,2025-03-31T12:32:00.000000,long,Normal,1.0819,1.081,1.0846,1.081,9.0,0.13,12.51,loss,-12.51,404.48,2,divergence|quarters|magnets,1.0812,False,long,neutral,long
2025-04-02,2025-04-02 12:36:00+00:00,2025-04-02T12:41:00.000000,short,Normal,1.08063,1.08134,1.0785,1.08134,7.1,0.17,12.13,loss,-12.13,392.34,1,divergence|quarters|magnets,1.08114,False,neutral,short,short
2025-04-02,2025-04-02 12:43:00+00:00,2025-04-02T12:57:00.000000,short,Normal,1.08107,1.08169,1.07921,1.08169,6.2,0.18,11.77,loss,-11.77,380.57,2,divergence|quarters|magnets,1.08149,False,neutral,short,short
2025-04-14,2025-04-14 13:32:00+00:00,2025-04-14T14:25:00.000000,long,Normal,1.13083,1.1296,1.13452,1.13452,12.3,0.1,11.42,win,34.25,414.83,1,quarters|magnets,1.1298,False,neutral,long,long
