date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2024-01-03,2024-01-03 13:05:00+00:00,2024-01-03T13:23:00.000000,long,Normal,1.09183,1.09125,1.09357,1.09125,5.8,0.1,6.0,loss,-6.0,194.0,1,divergence|quarters|magnets,1.09145,False,neutral,neutral,neutral
2024-01-03,2024-01-03 13:27:00+00:00,2024-01-03T15:10:00.000000,long,Normal,1.09201,1.09081,1.09561,1.09201,12.0,0.05,5.82,be,0.0,194.0,2,divergence|quarters|magnets,1.09101,False,neutral,neutral,neutral
2024-01-08,2024-01-08 13:42:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09532,1.09581,1.09385,1.09581,4.9,0.12,5.82,loss,-5.82,188.18,1,quarters|magnets,1.09561,False,neutral,short,short
2024-01-08,2024-01-08 13:43:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09518,1.09581,1.09329,1.09581,6.3,0.09,5.65,loss,-5.65,182.53,2,quarters|magnets,1.09561,False,neutral,short,short
2024-01-11,2024-01-11 13:29:00+00:00,2024-01-11T13:30:00.000000,short,Normal,1.09869,1.09928,1.09692,1.09869,5.9,0.09,5.48,be,0.0,182.53,1,divergence|quarters|magnets,1.09908,False,neutral,neutral,neutral
2024-01-29,2024-01-29 13:24:00+00:00,2024-01-29T14:14:00.000000,long,Normal,1.08185,1.08118,1.08386,1.08118,6.7,0.08,5.48,loss,-5.48,177.06,1,quarters|magnets,1.08138,False,neutral,neutral,neutral
2024-01-29,2024-01-29 13:27:00+00:00,2024-01-29T14:14:00.000000,long,Normal,1.08203,1.08118,1.08458,1.08118,8.5,0.06,5.31,loss,-5.31,171.75,2,quarters|magnets,1.08138,False,neutral,neutral,neutral
2024-01-30,2024-01-30 13:00:00+00:00,2024-01-30T14:19:00.000000,short,Normal,1.0845,1.08519,1.08243,1.0845,6.9,0.07,5.15,be,0.0,171.75,1,divergence|quarters|magnets,1.08499,False,short,short,short
2024-01-30,2024-01-30 13:05:00+00:00,2024-01-30T14:19:00.000000,short,Normal,1.08458,1.08519,1.08275,1.08458,6.1,0.08,5.15,be,0.0,171.75,2,divergence|quarters|magnets,1.08499,False,short,short,short
2024-02-02,2024-02-02 13:53:00+00:00,2024-02-02T13:56:00.000000,long,Normal,1.08126,1.08068,1.083,1.08068,5.8,0.09,5.15,loss,-5.15,166.59,1,quarters|magnets,1.08088,False,neutral,long,long
2024-02-02,2024-02-02 14:13:00+00:00,2024-02-02T15:16:00.000000,long,Normal,1.08028,1.07896,1.08424,1.07896,13.2,0.04,5.0,loss,-5.0,161.6,2,quarters|magnets,1.07916,False,neutral,long,long
2024-02-05,2024-02-05 14:45:00+00:00,2024-02-05T15:00:00.000000,long,Normal,1.07395,1.07332,1.07584,1.07332,6.3,0.07,4.85,loss,-4.85,156.75,1,divergence|quarters|magnets,1.07352,False,neutral,short,short
2024-02-09,2024-02-09 14:20:00+00:00,,short,Normal,1.07865,1.07971,1.07547,1.07971,10.6,0.04,4.7,loss,-4.7,152.05,1,quarters|magnets,1.07951,False,neutral,long,long
2024-02-09,2024-02-09 14:21:00+00:00,,short,Normal,1.07836,1.07971,1.07431,1.07971,13.5,0.03,4.56,loss,-4.56,147.48,2,quarters|magnets,1.07951,False,neutral,long,long
2024-02-22,2024-02-22 14:19:00+00:00,2024-02-22T14:25:00.000000,long,Normal,1.08165,1.08104,1.08348,1.08104,6.1,0.07,4.42,loss,-4.42,143.06,1,quarters|magnets,1.08124,False,neutral,long,long
2024-03-07,2024-03-07 13:42:00+00:00,2024-03-07T13:54:00.000000,long,Normal,1.08798,1.087,1.09092,1.087,9.8,0.04,4.29,loss,-4.29,138.77,1,divergence|quarters|magnets,1.0872,False,long,neutral,long
2024-03-07,2024-03-07 13:46:00+00:00,2024-03-07T13:54:00.000000,long,Normal,1.08818,1.087,1.09172,1.087,11.8,0.03,4.16,loss,-4.16,134.61,2,divergence|quarters|magnets,1.0872,False,long,neutral,long
2024-03-11,2024-03-11 13:03:00+00:00,2024-03-11T13:12:00.000000,long,Normal,1.09191,1.09157,1.09293,1.09157,3.4,0.12,4.04,loss,-4.04,130.57,1,divergence|quarters|magnets,1.09177,False,neutral,long,long
2024-03-11,2024-03-11 13:40:00+00:00,2024-03-11T17:35:00.000000,long,Normal,1.09203,1.09141,1.09389,1.09203,6.2,0.06,3.92,be,0.0,130.57,2,quarters|magnets,1.09161,False,neutral,long,long
2024-03-13,2024-03-13 12:10:00+00:00,2024-03-13T13:41:00.000000,short,Normal,1.09373,1.09429,1.09205,1.09429,5.6,0.07,3.92,loss,-3.92,126.65,1,quarters|magnets,1.09409,False,short,neutral,short
2024-03-13,2024-03-13 13:48:00+00:00,2024-03-13T14:22:00.000000,short,Normal,1.09399,1.09463,1.09207,1.09463,6.4,0.06,3.8,loss,-3.8,122.85,2,divergence|quarters|magnets,1.09443,False,short,neutral,short
2024-03-26,2024-03-26 13:37:00+00:00,2024-03-26T14:35:00.000000,long,Normal,1.08424,1.08359,1.08619,1.08359,6.5,0.05,3.69,loss,-3.69,119.17,1,divergence|quarters|magnets,1.08379,False,neutral,long,long
2024-03-26,2024-03-26 13:39:00+00:00,2024-03-26T14:35:00.000000,long,Normal,1.08437,1.08359,1.08671,1.08359,7.8,0.04,3.57,loss,-3.57,115.59,2,divergence|quarters|magnets,1.08379,False,neutral,long,long
2024-03-27,2024-03-27 12:45:00+00:00,2024-03-27T21:10:00.000000,long,Normal,1.08149,1.08088,1.08332,1.08149,6.1,0.06,3.47,be,0.0,115.59,1,quarters|magnets,1.08108,False,neutral,long,long
2024-04-09,2024-04-09 12:14:00+00:00,2024-04-09T12:32:00.000000,short,Normal,1.08677,1.08706,1.0859,1.08706,2.9,0.12,3.47,loss,-3.47,112.12,1,quarters|magnets,1.08686,False,short,short,short
2024-04-09,2024-04-09 13:00:00+00:00,2024-04-09T14:41:00.000000,short,Normal,1.08794,1.08859,1.08599,1.08599,6.5,0.06,3.36,win,10.09,122.21,2,quarters|magnets,1.08839,False,short,short,short
2024-05-01,2024-05-01 12:29:00+00:00,2024-05-01T12:32:00.000000,short,Normal,1.06759,1.06819,1.06579,1.06819,6.0,0.06,3.67,loss,-3.67,118.55,1,divergence|quarters|magnets,1.06799,False,neutral,neutral,neutral
2024-05-02,2024-05-02 12:14:00+00:00,2024-05-02T12:31:00.000000,long,Normal,1.07004,1.06938,1.07202,1.06938,6.6,0.05,3.56,loss,-3.56,114.99,1,quarters|magnets,1.06958,False,neutral,long,long
2024-05-02,2024-05-02 13:15:00+00:00,2024-05-02T13:38:00.000000,long,Normal,1.06966,1.06898,1.0717,1.06898,6.8,0.05,3.45,loss,-3.45,111.54,2,quarters|magnets,1.06918,False,neutral,long,long
2024-05-08,2024-05-08 13:42:00+00:00,2024-05-08T15:52:00.000000,short,Sierra,1.07507,1.07555,1.07363,1.07555,4.8,0.07,3.35,loss,-3.35,108.19,1,divergence|quarters|magnets,1.07535,False,neutral,short,short
