date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined,magnet_direction
2024-01-03,2024-01-03 13:05:00+00:00,2024-01-03T13:23:00.000000,long,Normal,1.09183,1.09125,1.09357,1.09125,5.8,0.03,2.0,loss,-2.0,198.0,1,divergence|quarters|magnets,1.09145,False,neutral,neutral,neutral,bullish
2024-01-03,2024-01-03 13:27:00+00:00,2024-01-03T15:10:00.000000,long,Normal,1.09201,1.09081,1.09561,1.09201,12.0,0.02,1.98,be,0.0,198.0,2,divergence|quarters|magnets,1.09101,False,neutral,neutral,neutral,bullish
2024-01-08,2024-01-08 13:42:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09532,1.09581,1.09385,1.09581,4.9,0.04,1.98,loss,-1.98,196.02,1,quarters|magnets,1.09561,False,neutral,short,short,bearish
2024-01-08,2024-01-08 13:43:00+00:00,2024-01-08T14:14:00.000000,short,Normal,1.09518,1.09581,1.09329,1.09581,6.3,0.03,1.96,loss,-1.96,194.06,2,quarters|magnets,1.09561,False,neutral,short,short,bearish
2024-01-11,2024-01-11 13:29:00+00:00,2024-01-11T13:30:00.000000,short,Normal,1.09869,1.09928,1.09692,1.09869,5.9,0.03,1.94,be,0.0,194.06,1,divergence|quarters|magnets,1.09908,False,neutral,neutral,neutral,bearish
2024-01-29,2024-01-29 13:24:00+00:00,2024-01-29T14:14:00.000000,long,Normal,1.08185,1.08118,1.08386,1.08118,6.7,0.03,1.94,loss,-1.94,192.12,1,quarters|magnets,1.08138,False,neutral,neutral,neutral,bullish
2024-01-29,2024-01-29 13:27:00+00:00,2024-01-29T14:14:00.000000,long,Normal,1.08203,1.08118,1.08458,1.08118,8.5,0.02,1.92,loss,-1.92,190.2,2,quarters|magnets,1.08138,False,neutral,neutral,neutral,bullish
2024-01-30,2024-01-30 13:00:00+00:00,2024-01-30T14:19:00.000000,short,Normal,1.0845,1.08519,1.08243,1.0845,6.9,0.03,1.9,be,0.0,190.2,1,divergence|quarters|magnets,1.08499,False,short,short,short,bearish
2024-01-30,2024-01-30 13:05:00+00:00,2024-01-30T14:19:00.000000,short,Normal,1.08458,1.08519,1.08275,1.08458,6.1,0.03,1.9,be,0.0,190.2,2,divergence|quarters|magnets,1.08499,False,short,short,short,bearish
2024-02-02,2024-02-02 13:53:00+00:00,2024-02-02T13:56:00.000000,long,Normal,1.08126,1.08068,1.083,1.08068,5.8,0.03,1.9,loss,-1.9,188.3,1,quarters|magnets,1.08088,False,neutral,long,long,bullish
2024-02-02,2024-02-02 14:13:00+00:00,2024-02-02T15:16:00.000000,long,Normal,1.08028,1.07896,1.08424,1.07896,13.2,0.01,1.88,loss,-1.88,186.41,2,quarters|magnets,1.07916,False,neutral,long,long,bullish
2024-02-05,2024-02-05 14:45:00+00:00,2024-02-05T15:00:00.000000,long,Normal,1.07395,1.07332,1.07584,1.07332,6.3,0.03,1.86,loss,-1.86,184.55,1,divergence|quarters|magnets,1.07352,False,neutral,short,short,bullish
2024-02-22,2024-02-22 14:19:00+00:00,2024-02-22T14:25:00.000000,long,Normal,1.08165,1.08104,1.08348,1.08104,6.1,0.03,1.85,loss,-1.85,182.7,1,quarters|magnets,1.08124,False,neutral,long,long,bullish
2024-03-07,2024-03-07 13:42:00+00:00,2024-03-07T13:54:00.000000,long,Normal,1.08798,1.087,1.09092,1.087,9.8,0.02,1.83,loss,-1.83,180.88,1,divergence|quarters|magnets,1.0872,False,long,neutral,long,bullish
2024-03-07,2024-03-07 13:46:00+00:00,2024-03-07T13:54:00.000000,long,Normal,1.08818,1.087,1.09172,1.087,11.8,0.02,1.81,loss,-1.81,179.07,2,divergence|quarters|magnets,1.0872,False,long,neutral,long,bullish
2024-03-11,2024-03-11 13:03:00+00:00,2024-03-11T13:12:00.000000,long,Normal,1.09191,1.09157,1.09293,1.09157,3.4,0.05,1.79,loss,-1.79,177.28,1,divergence|quarters|magnets,1.09177,False,neutral,long,long,bullish
2024-03-11,2024-03-11 13:40:00+00:00,2024-03-11T17:35:00.000000,long,Normal,1.09203,1.09141,1.09389,1.09203,6.2,0.03,1.77,be,0.0,177.28,2,quarters|magnets,1.09161,False,neutral,long,long,bullish
2024-05-01,2024-05-01 12:29:00+00:00,2024-05-01T12:32:00.000000,short,Normal,1.06759,1.06819,1.06579,1.06819,6.0,0.03,1.77,loss,-1.77,175.5,1,divergence|quarters|magnets,1.06799,False,neutral,neutral,neutral,bearish
2024-05-08,2024-05-08 13:42:00+00:00,2024-05-08T15:52:00.000000,short,Sierra,1.07507,1.07555,1.07363,1.07555,4.8,0.04,1.76,loss,-1.76,173.75,1,divergence|quarters|magnets,1.07535,False,neutral,short,short,bearish
2024-05-23,2024-05-23 13:15:00+00:00,2024-05-23T13:45:00.000000,short,Normal,1.08563,1.08622,1.08386,1.08563,5.9,0.03,1.74,be,0.0,173.75,1,divergence|quarters|magnets,1.08602,False,short,short,short,bearish
2024-05-23,2024-05-23 13:18:00+00:00,2024-05-23T13:45:00.000000,short,Normal,1.08593,1.08622,1.08506,1.08506,2.9,0.06,1.74,win,5.21,178.96,2,divergence|quarters|magnets,1.08602,False,short,short,short,bearish
2024-05-23,2024-05-23 13:19:00+00:00,2024-05-23T13:45:00.000000,short,Normal,1.08579,1.08622,1.0845,1.08579,4.3,0.04,1.79,be,0.0,178.96,3,divergence|quarters|magnets,1.08602,False,short,short,short,bearish
2024-07-26,2024-07-26 12:38:00+00:00,2024-07-26T12:41:00.000000,short,Normal,1.08598,1.08649,1.08445,1.08649,5.1,0.03,1.79,loss,-1.79,177.17,1,quarters|magnets,1.08629,False,neutral,neutral,neutral,bearish
2024-07-26,2024-07-26 12:43:00+00:00,2024-07-26T14:12:00.000000,short,Normal,1.08613,1.08674,1.0843,1.08674,6.1,0.03,1.77,loss,-1.77,175.4,2,quarters|magnets,1.08654,False,neutral,neutral,neutral,bearish
2024-08-05,2024-08-05 13:38:00+00:00,2024-08-05T16:00:00.000000,short,Normal,1.09928,1.10052,1.09556,1.09556,12.4,0.01,1.75,win,5.26,180.66,1,quarters|magnets,1.10032,False,neutral,neutral,neutral,bearish
2024-08-05,2024-08-05 13:40:00+00:00,2024-08-05T16:07:00.000000,short,Normal,1.09921,1.10052,1.09528,1.09528,13.1,0.01,1.81,win,5.42,186.08,2,quarters|magnets,1.10032,False,neutral,neutral,neutral,bearish
2024-08-05,2024-08-05 13:42:00+00:00,,short,Normal,1.09896,1.10052,1.09428,1.10052,15.6,0.01,1.86,loss,-1.86,184.22,3,quarters|magnets,1.10032,False,neutral,neutral,neutral,bearish
2024-08-09,2024-08-09 12:37:00+00:00,2024-08-09T14:23:00.000000,long,Normal,1.09129,1.09076,1.09288,1.09288,5.3,0.04,1.84,win,5.53,189.75,1,divergence|quarters|magnets,1.09096,False,neutral,long,long,bullish
2024-08-09,2024-08-09 12:40:00+00:00,2024-08-09T14:19:00.000000,long,Normal,1.09125,1.09076,1.09272,1.09272,4.9,0.04,1.9,win,5.69,195.44,2,divergence|quarters|magnets,1.09096,False,neutral,long,long,bullish
2024-08-13,2024-08-13 12:43:00+00:00,2024-08-13T13:22:00.000000,short,Normal,1.09417,1.09485,1.09213,1.09485,6.8,0.03,1.95,loss,-1.95,193.49,1,quarters|magnets,1.09465,False,neutral,long,long,bearish
2024-08-20,2024-08-20 13:52:00+00:00,2024-08-20T14:34:00.000000,short,Normal,1.10996,1.11071,1.10771,1.11071,7.5,0.03,1.93,loss,-1.93,191.55,1,divergence|quarters|magnets,1.11051,False,neutral,neutral,neutral,bearish
2024-08-27,2024-08-27 12:05:00+00:00,2024-08-27T12:16:00.000000,long,Normal,1.11638,1.11574,1.1183,1.11574,6.4,0.03,1.92,loss,-1.92,189.64,1,divergence|quarters|magnets,1.11594,False,neutral,neutral,neutral,bullish
2024-08-27,2024-08-27 12:39:00+00:00,2024-08-27T18:01:00.000000,long,Normal,1.11576,1.11481,1.11861,1.11861,9.5,0.02,1.9,win,5.69,195.32,2,divergence|quarters|magnets,1.11501,False,neutral,neutral,neutral,bullish
2024-08-30,2024-08-30 13:15:00+00:00,2024-08-30T14:26:00.000000,long,Normal,1.10621,1.10518,1.1093,1.10621,10.3,0.02,1.95,be,0.0,195.32,1,quarters|magnets,1.10538,False,neutral,long,long,bullish
2024-09-04,2024-09-04 12:02:00+00:00,2024-09-04T12:25:00.000000,long,Normal,1.10496,1.10407,1.10763,1.10407,8.9,0.02,1.95,loss,-1.95,193.37,1,divergence|quarters|magnets,1.10427,False,neutral,long,long,bullish
2024-09-04,2024-09-04 13:49:00+00:00,2024-09-04T14:00:00.000000,long,Normal,1.10547,1.10495,1.10703,1.10703,5.2,0.04,1.93,win,5.8,199.17,2,quarters|magnets,1.10515,False,neutral,long,long,bullish
2024-09-26,2024-09-26 12:28:00+00:00,2024-09-26T12:30:00.000000,short,Normal,1.11624,1.11674,1.11474,1.11474,5.0,0.04,1.99,win,5.98,205.15,1,divergence|quarters|magnets,1.11654,False,neutral,short,short,bearish
2024-09-26,2024-09-26 12:29:00+00:00,2024-09-26T12:30:00.000000,short,Normal,1.11604,1.11674,1.11394,1.11604,7.0,0.03,2.05,be,0.0,205.15,2,divergence|quarters|magnets,1.11654,False,neutral,short,short,bearish
2024-09-27,2024-09-27 13:19:00+00:00,2024-09-27T15:39:00.000000,short,Normal,1.11944,1.1205,1.11626,1.11626,10.6,0.02,2.05,win,6.15,211.3,1,divergence|quarters|magnets,1.1203,False,neutral,neutral,neutral,bearish
2024-10-07,2024-10-07 12:14:00+00:00,2024-10-07T13:05:00.000000,short,Normal,1.09803,1.09856,1.09644,1.09803,5.3,0.04,2.11,be,0.0,211.3,1,divergence|quarters|magnets,1.09836,False,short,short,short,bearish
2024-10-07,2024-10-07 12:56:00+00:00,2024-10-07T13:16:00.000000,short,Normal,1.09751,1.09819,1.09547,1.09819,6.8,0.03,2.11,loss,-2.11,209.19,2,divergence|quarters|magnets,1.09799,False,short,short,short,bearish
2024-10-22,2024-10-22 12:05:00+00:00,2024-10-22T12:47:00.000000,long,Normal,1.082,1.08129,1.08413,1.08129,7.1,0.03,2.09,loss,-2.09,207.1,1,divergence|quarters|magnets,1.08149,False,neutral,long,long,bullish
2024-10-22,2024-10-22 12:37:00+00:00,2024-10-22T12:56:00.000000,long,Normal,1.08159,1.08111,1.08303,1.08111,4.8,0.04,2.07,loss,-2.07,205.03,2,quarters|magnets,1.08131,False,neutral,long,long,bullish
2024-11-01,2024-11-01 12:46:00+00:00,2024-11-01T13:27:00.000000,short,Normal,1.08743,1.08805,1.08557,1.08557,6.2,0.03,2.05,win,6.15,211.18,1,quarters|magnets,1.08785,False,short,short,short,bearish
